Offer Title,Description,Image,Link,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Up to Rs.2000 Off on Domestic Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-dom-emi,,Tata Neu Plus HDFC Bank RuPay Credit Card,,,,
Flat 10% Off on International Hotels with J&K Bank Cards,Hotels,,https://www.ixigo.com/offers/jk-bank-hotel-int,,J&K Bank Gold Credit Card,,,,
Flat 10% Off on International Hotels with J&K Bank Cards,Hotels,,https://www.ixigo.com/offers/jk-bank-hotel-int,,J&K Bank Platinum Credit Card,,,,
Flat 10% Off on International Hotels with J&K Bank Cards,Hotels,,https://www.ixigo.com/offers/jk-bank-hotel-int,,J&K Bank World Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,CSC Small Business MoneyBack Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Biz Black Metal Edition Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,6E Rewards Indigo HDFC Bank Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,6E Rewards XL IndiGo HDFC Bank Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,Easy EMI Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,Flipkart Wholesale HDFC Bank Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC All Miles Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Biz First Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Biz Grow Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Biz Grow Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Biz Power Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Biz Power Visa Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Business Gold Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Business Regalia First Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Freedom Credit Card,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Harley-Davidson Diners Club Credit Card ??,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank Infinia Credit Card Metal Edition,,,,
Up to Rs.7500 Off on International Hotels with HDFC Bank Credit Card EMI,Hotels,,https://www.ixigo.com/offers/hotel-hdfc-int-emi,,HDFC Bank MoneyBack Plus RuPay Credit Card,,,,
