Offer Title,Description,Image,Link,,
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Indian Navy Varunah Premium Bobcard (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,IndianOil Axis Bank Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,CMA One Bobcard (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,Shaurya SBI Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,SBI Card Miles (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,South Indian Bank Simplysave SBI Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,ICICI Bank Sapphiro Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,IRCTC SBI Card Rupay (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,ICICI Bank HPCL Super Saver Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,PNB Patanjali Rupay Platinum Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,SBM Credilio Secured Credit Card (Rupay),
SAY YAY TO ALL TRAVEL PLANS WITH:,Up to 15% OFF* on flights & hotels.,https://promos.makemytrip.com/appfest/2x/rupay-offer-06012023.jpg,https://www.makemytrip.com/promos/rupay-cc-offer-210825.html?detail_image=no,RBL Bank Patanjali Vishisht RuPay Card (Rupay),
