Offer Image,Offer Title,Offer Description,Coupon Code,Offer Link,Eligible Credit Cards
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Prime Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Swavlamban Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,IRCTC Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Snapdeal Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Unnati Bobcard
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,Indian Coast Guard Rakshamah Bank of Baroda
https://www.cleartrip.com/all-offers/wp-content/uploads/2024/04/bob_logo.png,Get upto 20% off,Hotels with Bank of Baroda with NCEMI on Credit Cards,BOBEMI,https://www.cleartrip.com/all-offers/bob-cc-emi-hotels-offer/,SELECT
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC Bank First Millennia Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Power RuPay Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Select Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Classic Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Earn RuPay Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Power+ RuPay Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First SWYP Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Wealth Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC Mayura Credit Card
https://www.cleartrip.com/all-offers/wp-content/uploads/2023/11/idfc-e1715077608337.jpg,Get upto 15% off,Hotels with IDFC Bank with EMI on Credit Cards,IDFCEMI,https://www.cleartrip.com/all-offers/idfc-first-bank-credit-cards-hotels-campaign/,IDFC First Private Credit Card
